exportName,kind,line,usageCount,paths,classification
getRetrievalHealth,value,1351,0,/api/v1/retrieval/health,unused_api_wrapper
getRetrievalShadowSummary,value,1355,0,/api/v1/retrieval/shadow-summary | /api/v1/retrieval/shadow-summary,unused_api_wrapper
getRetrievalShadowRuns,value,1363,0,/api/v1/retrieval/shadow-runs,unused_api_wrapper
reindexClientVector,value,1370,0,/api/v1/clients/{param}/knowledge/reindex-vector,unused_api_wrapper
getClientVectorIndexStatus,value,1383,0,/api/v1/clients/{param}/knowledge/vector-index/status,unused_api_wrapper
resolveDataCenterKernel,value,1397,5,/api/v1/data-center/resolve,used_api_wrapper
diagnoseDataCenter,value,1404,0,/api/v1/data-center/diagnose,unused_api_wrapper
getDataCenterShadowSummary,value,1422,0,/api/v1/data-center/shadow-summary | /api/v1/data-center/shadow-summary,unused_api_wrapper
getDataCenterShadowRuns,value,1431,0,/api/v1/data-center/shadow-runs,unused_api_wrapper
getWorkspaceChatDiagnostics,value,1439,0,/api/v1/runtime/workspace-chat-diagnostics,unused_api_wrapper
getWorkspaceAnswerValueDiagnostics,value,1446,0,/api/v1/runtime/workspace-answer-value-diagnostics,unused_api_wrapper
createWorkspaceAnswerValueReview,value,1453,0,/api/v1/workspace-answer-value-reviews,unused_api_wrapper
listWorkspaceAnswerValueReviews,value,1482,0,/api/v1/workspace-answer-value-reviews,unused_api_wrapper
getWorkspaceAnswerValueSummary,value,1489,0,/api/v1/workspace-answer-value-summary,unused_api_wrapper
createWorkspaceValueValidationSession,value,1495,0,/api/v1/workspace-value-validation-sessions,unused_api_wrapper
listWorkspaceValueValidationSessions,value,1502,0,/api/v1/workspace-value-validation-sessions,unused_api_wrapper
getWorkspaceValueValidationSession,value,1509,0,/api/v1/workspace-value-validation-sessions/{param},unused_api_wrapper
completeWorkspaceValueValidationQuestion,value,1513,0,/api/v1/workspace-value-validation-sessions/{param}/complete-question,unused_api_wrapper
finishWorkspaceValueValidationSession,value,1548,0,/api/v1/workspace-value-validation-sessions/{param}/finish,unused_api_wrapper
listWorkspaceAnswerQualityFailures,value,1554,0,/api/v1/workspace-answer-quality-failures,unused_api_wrapper
resolveWorkspaceAnswerQualityFailure,value,1561,0,/api/v1/workspace-answer-quality-failures/{param}/resolve,unused_api_wrapper
createWorkspaceAnswerActionProposal,value,1571,2,/api/v1/workspace-answer-action-cards/{param}/create-proposal,used_api_wrapper
createWorkspaceAnswerActionTask,value,1580,3,/api/v1/workspace-answer-action-cards/{param}/create-task,used_api_wrapper
createWorkspaceAnswerActionEvidenceRequest,value,1589,2,/api/v1/workspace-answer-action-cards/{param}/request-evidence,used_api_wrapper
getGenerationRuntimeState,value,1598,0,/api/v1/runtime/generation-state,unused_api_wrapper
resetGenerationRuntimeState,value,1611,0,/api/v1/runtime/generation-state/reset,unused_api_wrapper
resetGenerationRuntimeStateV2,value,1624,0,/api/v1/runtime/generation-state/reset,unused_api_wrapper
runLlmHealthcheck,value,1643,0,/api/v1/runtime/llm-healthcheck,unused_api_wrapper
runLlmProviderProbe,value,1658,0,/api/v1/runtime/llm-provider-probe,unused_api_wrapper
getSourceIntegrity,value,1673,2,/api/v1/system/source-integrity | /api/v1/system/source-integrity,used_api_wrapper
getKnowledgeParseFailures,value,1686,0,/api/v1/clients/{param}/knowledge/parse-failures,unused_api_wrapper
retryKnowledgeParseFailures,value,1690,0,/api/v1/clients/{param}/knowledge/parse-failures/retry,unused_api_wrapper
getWorkspaceDataCenterReadiness,value,1704,0,/api/v1/clients/{param}/workspace/data-center-readiness,unused_api_wrapper
runWorkspaceDataCenterReadinessAction,value,1708,0,/api/v1/clients/{param}/workspace/data-center-readiness/actions,unused_api_wrapper
getWorkspaceContextRefreshEvents,value,1729,0,/api/v1/clients/{param}/workspace/context-refresh-events | /api/v1/clients/{param}/workspace/context-refresh-events,unused_api_wrapper
enqueueWorkspaceContextRefreshEvent,value,1743,0,/api/v1/clients/{param}/workspace/context-refresh-events,unused_api_wrapper
createWorkspaceProposalDraft,value,1763,6,/api/v1/clients/{param}/workspace/proposal-drafts,used_api_wrapper
getDataCenterProposalDrafts,value,1790,2,/api/v1/data-center/proposal-drafts,used_api_wrapper
markDataCenterProposalDraftReviewed,value,1808,2,/api/v1/data-center/proposal-drafts/{param}/mark-reviewed,used_api_wrapper
rejectDataCenterProposalDraft,value,1817,2,/api/v1/data-center/proposal-drafts/{param}/reject,used_api_wrapper
promoteDataCenterProposalDraft,value,1826,2,/api/v1/data-center/proposal-drafts/{param}/promote,used_api_wrapper
getExternalEvidenceCards,value,1849,0,/api/v1/external-evidence-cards,unused_api_wrapper
createExternalEvidenceCardFromTopicCandidate,value,1863,0,/api/v1/topic-candidates/{param}/external-evidence-card,unused_api_wrapper
acceptExternalEvidenceCard,value,1869,0,/api/v1/external-evidence-cards/{param}/accept,unused_api_wrapper
rejectExternalEvidenceCard,value,1875,0,/api/v1/external-evidence-cards/{param}/reject,unused_api_wrapper
createProposalDraftFromExternalEvidence,value,1881,0,/api/v1/external-evidence-cards/{param}/create-proposal-draft,unused_api_wrapper
getDataCenterEvidenceQuality,value,1890,0,/api/v1/data-center/evidence-quality,unused_api_wrapper
labelDataCenterEvidenceQuality,value,1904,4,/api/v1/data-center/evidence-quality/{param}/label,used_api_wrapper
getMeetingPageContext,value,1920,2,/api/v1/meetings/{param}/page-context | /api/v1/meetings/{param}/page-context,used_api_wrapper
getMobileDataCenterSnapshot,value,1929,0,/api/v1/clients/{param}/data-center/mobile-snapshot,unused_api_wrapper
searchClientKnowledge,value,1933,2,/api/v1/clients/{param}/knowledge/search,used_api_wrapper
rebuildClientKnowledge,value,1940,2,/api/v1/clients/{param}/knowledge/rebuild,used_api_wrapper
generateClientDnaCandidates,value,1946,2,/api/v1/clients/{param}/dna-documents/generate,used_api_wrapper
importPaths,value,1953,3,/api/v1/imports,used_api_wrapper
startClientMessage,value,1960,2,/api/v1/clients/{param}/workspace/chat/start,used_api_wrapper
getClientMessage,value,1974,1,/api/v1/clients/{param}/workspace/chat/messages/{param},used_api_wrapper
getClientChatThread,value,1978,2,/api/v1/clients/{param}/workspace/chat/threads/{param},used_api_wrapper
getClientAnalysisRun,value,1982,2,/api/v1/clients/{param}/analysis-runs/{param},used_api_wrapper
cancelClientAnalysisRun,value,1986,2,/api/v1/clients/{param}/analysis-runs/{param}/cancel,used_api_wrapper
vectorizeAnswer,value,1992,2,/api/v1/clients/{param}/knowledge/vectorize-answer,used_api_wrapper
exportAnswer,value,1999,2,/api/v1/clients/{param}/knowledge/export-answer,used_api_wrapper
createClientTextDocument,value,2006,3,/api/v1/clients/{param}/documents/from-text,used_api_wrapper
startClientTemplateFill,value,2013,2,/api/v1/clients/{param}/documents/fill-template/start,used_api_wrapper
getClientTemplateFillRun,value,2020,2,/api/v1/clients/{param}/template-fill-runs/{param},used_api_wrapper
backfillClientWorkspaceImports,value,2024,2,/api/v1/clients/{param}/workspace/backfill-imports,used_api_wrapper
createMeeting,value,2030,2,/api/v1/clients/{param}/meetings,used_api_wrapper
getStrategicCockpit,value,2037,2,/api/v1/clients/{param}/strategic-cockpit,used_api_wrapper
confirmStrategicCockpit,value,2041,0,/api/v1/clients/{param}/strategic-cockpit/confirm,unused_api_wrapper
createStrategicMeetingPack,value,2048,0,/api/v1/clients/{param}/strategic-cockpit/meeting-pack,unused_api_wrapper
applyStrategicMeetingPack,value,2054,0,/api/v1/clients/{param}/strategic-cockpit/meeting-pack/{param}/apply,unused_api_wrapper
getStrategicThoughts,value,2060,2,/api/v1/strategic/thoughts{param},used_api_wrapper
refreshStrategicThoughts,value,2077,2,/api/v1/strategic/thoughts/refresh,used_api_wrapper
updateStrategicThoughtState,value,2084,3,/api/v1/strategic/thoughts/{param}/state,used_api_wrapper
reviewStrategicThought,value,2091,2,/api/v1/strategic/thoughts/{param}/review,used_api_wrapper
createClientFolder,value,2098,2,/api/v1/clients/{param}/folders,used_api_wrapper
renameClientFolder,value,2105,0,/api/v1/clients/{param}/folders/{param},unused_api_wrapper
launchFeishuMeeting,value,2112,2,/api/v1/clients/{param}/meetings/launch-feishu,used_api_wrapper
ingestMeeting,value,2119,2,/api/v1/clients/{param}/meetings/{param}/ingest,used_api_wrapper
extractMeeting,value,2126,2,/api/v1/clients/{param}/meetings/{param}/extract,used_api_wrapper
resolveMeeting,value,2132,2,/api/v1/clients/{param}/meetings/{param}/resolve,used_api_wrapper
publishMeeting,value,2138,2,/api/v1/clients/{param}/meetings/{param}/publish,used_api_wrapper
createMeetingPrepareProposal,value,2144,2,/api/v1/clients/{param}/meetings/{param}/proposals/prepare,used_api_wrapper
createMeetingFollowupProposal,value,2150,2,/api/v1/clients/{param}/meetings/{param}/proposals/follow-up,used_api_wrapper
getProposals,value,2156,2,/api/v1/proposals{param},used_api_wrapper
getProposal,value,2166,0,/api/v1/proposals/{param},unused_api_wrapper
approveProposal,value,2170,2,/api/v1/proposals/{param}/approve,used_api_wrapper
rejectProposal,value,2182,2,/api/v1/proposals/{param}/reject,used_api_wrapper
getProposalExecutionPreview,value,2194,0,/api/v1/proposals/{param}/execution-preview,unused_api_wrapper
createProposalExecutionTicket,value,2198,0,/api/v1/proposals/{param}/execution-ticket,unused_api_wrapper
getExecutionTickets,value,2211,0,/api/v1/execution-tickets,unused_api_wrapper
executeExecutionTicket,value,2219,0,/api/v1/execution-tickets/{param}/execute,unused_api_wrapper
retryExecutionTicket,value,2229,0,/api/v1/execution-tickets/{param}/retry,unused_api_wrapper
getExecutionTicketLogs,value,2239,0,/api/v1/execution-tickets/{param}/logs,unused_api_wrapper
batchApproveProposals,value,2245,0,/api/v1/proposals/batch-approve,unused_api_wrapper
batchRejectProposals,value,2256,0,/api/v1/proposals/batch-reject,unused_api_wrapper
startKernelPrimaryRollout,value,2267,0,/api/v1/data-center/kernel-primary-rollout/start,unused_api_wrapper
completeKernelPrimaryRollout,value,2278,0,/api/v1/data-center/kernel-primary-rollout/{param}/complete,unused_api_wrapper
rollbackKernelPrimaryRollout,value,2284,0,/api/v1/data-center/kernel-primary-rollout/{param}/rollback,unused_api_wrapper
listKernelPrimaryRollouts,value,2291,0,/api/v1/data-center/kernel-primary-rollout,unused_api_wrapper
getExecutionRetryMetrics,value,2297,0,/api/v1/data-center/execution-retry-metrics,unused_api_wrapper
createEvidenceQualitySnapshot,value,2304,0,/api/v1/data-center/evidence-quality/snapshots,unused_api_wrapper
listEvidenceQualitySnapshots,value,2311,0,/api/v1/data-center/evidence-quality/snapshots,unused_api_wrapper
runDataCenterRollbackDrill,value,2317,0,/api/v1/data-center/rollback-drill,unused_api_wrapper
getDataCenterOperationalStatus,value,2327,0,/api/v1/data-center/operational-status{param},unused_api_wrapper
getDataCenterArtifactStatus,value,2334,0,/api/v1/data-center/artifact-status,unused_api_wrapper
getDataCenterSchemaStatus,value,2338,0,/api/v1/data-center/schema/status,unused_api_wrapper
ensureDataCenterSchema,value,2342,0,/api/v1/data-center/schema/ensure,unused_api_wrapper
executeProposal,value,2348,2,/api/v1/proposals/{param}/execute,used_api_wrapper
createGoal,value,2356,2,/api/v1/clients/{param}/goals,used_api_wrapper
upsertDna,value,2363,2,/api/v1/clients/{param}/dna,used_api_wrapper
getTaskBoard,value,2370,2,/api/v1/tasks,used_api_wrapper
createSupportRequest,value,2374,2,/api/v1/support-requests,used_api_wrapper
getSupportRequests,value,2381,2,/api/v1/support-requests{param},used_api_wrapper
resolveSupportRequest,value,2389,2,/api/v1/support-requests/{param}/resolve,used_api_wrapper
getAgentWorklogs,value,2396,2,/api/v1/tasks/agent-worklogs{param},used_api_wrapper
updateAgentWeeklyPlan,value,2401,2,/api/v1/tasks/agent-weekly-plans/{param}/{param},used_api_wrapper
getAgentExecutionTasks,value,2408,2,/api/v1/tasks/agent-execution,used_api_wrapper
createTaskList,value,2416,4,/api/v1/task-lists,used_api_wrapper
updateTaskList,value,2423,3,/api/v1/task-lists/{param},used_api_wrapper
deleteTaskList,value,2430,2,/api/v1/task-lists/{param},used_api_wrapper
createTaskTag,value,2436,2,/api/v1/task-tags,used_api_wrapper
updateTaskTag,value,2443,3,/api/v1/task-tags/{param},used_api_wrapper
deleteTaskTag,value,2450,2,/api/v1/task-tags/{param},used_api_wrapper
createTask,value,2456,9,/api/v1/tasks,used_api_wrapper
updateTask,value,2463,17,/api/v1/tasks/{param},used_api_wrapper
deleteTask,value,2470,4,/api/v1/tasks/{param},used_api_wrapper
uploadTaskAttachment,value,2476,2,/api/v1/tasks/{param}/attachments,used_api_wrapper
getEventLines,value,2497,2,/api/v1/event-lines,used_api_wrapper
createEventLine,value,2501,2,/api/v1/event-lines,used_api_wrapper
getEventLine,value,2508,4,/api/v1/event-lines/{param},used_api_wrapper
getEventLineReportSnapshot,value,2512,2,/api/v1/event-lines/{param}/report-snapshot,used_api_wrapper
updateEventLine,value,2516,6,/api/v1/event-lines/{param},used_api_wrapper
closeEventLine,value,2523,2,/api/v1/event-lines/{param}/close,used_api_wrapper
reopenEventLine,value,2529,2,/api/v1/event-lines/{param}/reopen,used_api_wrapper
deleteEventLine,value,2535,2,/api/v1/event-lines/{param},used_api_wrapper
addEventLineNote,value,2541,3,/api/v1/event-lines/{param}/notes,used_api_wrapper
generateEventLineClarificationDraft,value,2548,3,/api/v1/event-lines/{param}/clarification-draft,used_api_wrapper
confirmTask,value,2558,2,/api/v1/tasks/{param}/confirm,used_api_wrapper
rejectTask,value,2562,2,/api/v1/tasks/{param}/reject,used_api_wrapper
approveTaskReview,value,2569,2,/api/v1/tasks/{param}/review/approve,used_api_wrapper
returnTaskReview,value,2573,2,/api/v1/tasks/{param}/review/return,used_api_wrapper
saveTaskNote,value,2580,2,/api/v1/tasks/{param}/note,used_api_wrapper
completeTaskWithReview,value,2587,2,/api/v1/tasks/{param}/complete-with-review,used_api_wrapper
getTaskViews,value,2594,0,/api/v1/task-views,unused_api_wrapper
getTaskTagSuggestions,value,2598,1,/api/v1/local/tasks/tag-suggestions,used_api_wrapper
getReviews,value,2605,2,/api/v1/reviews{param},used_api_wrapper
getReviewDashboardDrillTarget,value,2613,2,/api/v1/reviews/dashboard/drill-target,used_api_wrapper
getReviewHistory,value,2632,2,/api/v1/reviews/history,used_api_wrapper
createWeeklyReview,value,2636,2,/api/v1/reviews/weekly,used_api_wrapper
createWeeklyReviewDraft,value,2643,2,/api/v1/reviews/weekly/draft,used_api_wrapper
getTopics,value,2650,2,/api/v1/topics,used_api_wrapper
captureTopicRadars,value,2654,2,/api/v1/topics/capture,used_api_wrapper
createRadar,value,2660,2,/api/v1/topics/radars,used_api_wrapper
updateRadar,value,2667,2,/api/v1/topics/radars/{param},used_api_wrapper
suggestRadarTitle,value,2674,0,/api/v1/topics/radars/generate-title,unused_api_wrapper
assistRadarDraft,value,2681,2,/api/v1/topics/radars/assist,used_api_wrapper
suggestRadarSourceLabel,value,2688,2,/api/v1/topics/radars/source-label,used_api_wrapper
getCandidateInsights,value,2695,3,/api/v1/topics/candidates/{param}/insights,used_api_wrapper
askCandidateQuestion,value,2699,2,/api/v1/topics/candidates/{param}/chat,used_api_wrapper
getCandidateTaskPlan,value,2719,0,/api/v1/topics/candidates/{param}/task-plan,unused_api_wrapper
promoteCandidateTasks,value,2723,0,/api/v1/topics/candidates/{param}/promote-tasks,unused_api_wrapper
deleteCandidate,value,2730,2,/api/v1/topics/candidates/{param},used_api_wrapper
getAnalysisTools,value,2734,1,/api/v1/analysis-tools,used_api_wrapper
runAnalysis,value,2738,1,/api/v1/analysis-tools/runs,used_api_wrapper
getFundraisingDeepDnaLibrary,value,2745,0,/api/v1/analysis-tools/fundraising/dna,unused_api_wrapper
upsertFundraisingDeepDna,value,2749,0,/api/v1/analysis-tools/fundraising/dna,unused_api_wrapper
createFundraisingManualDna,value,2756,1,/api/v1/analysis-tools/fundraising/dna/manual,used_api_wrapper
importFundraisingDna,value,2774,1,/api/v1/analysis-tools/fundraising/dna/import,used_api_wrapper
createFundraisingWebDnaDraft,value,2788,1,/api/v1/analysis-tools/fundraising/dna/web-drafts,used_api_wrapper
publishFundraisingDna,value,2799,1,/api/v1/analysis-tools/fundraising/dna/{param}/publish,used_api_wrapper
getFundraisingCases,value,2805,1,/api/v1/analysis-tools/fundraising/cases,used_api_wrapper
upsertFundraisingCase,value,2809,0,/api/v1/analysis-tools/fundraising/cases,unused_api_wrapper
getFundraisingReminderRules,value,2816,0,/api/v1/analysis-tools/fundraising/reminders,unused_api_wrapper
upsertFundraisingReminderRule,value,2820,1,/api/v1/analysis-tools/fundraising/reminders,used_api_wrapper
getFundraisingWritingNorms,value,2827,0,/api/v1/analysis-tools/fundraising/norms,unused_api_wrapper
upsertFundraisingWritingNorm,value,2831,1,/api/v1/analysis-tools/fundraising/norms,used_api_wrapper
getFundraisingRunComparison,value,2838,1,/api/v1/analysis-tools/fundraising/runs/{param}/comparison,used_api_wrapper
getHandbook,value,2842,6,/api/v1/handbook,used_api_wrapper
getHandbookEntry,value,2846,2,/api/v1/handbook/{param},used_api_wrapper
createHandbook,value,2850,3,/api/v1/handbook,used_api_wrapper
getGrowthOverview,value,2857,6,/api/v1/growth/overview{param},used_api_wrapper
getGrowthWorkbench,value,2862,4,/api/v1/growth/workbench{param},used_api_wrapper
getGrowthBadges,value,2875,4,/api/v1/growth/badges,used_api_wrapper
getGrowthLedger,value,2879,3,/api/v1/growth/ledger{param},used_api_wrapper
acceptGrowthRecommendation,value,2887,2,/api/v1/growth/recommendations/{param}/accept,used_api_wrapper
