表名,中文解释,四仓,行数,状态,主要写入入口,主要读取方,scope列(client/org/user/source),时间列(created/updated),备注
bot_reporting_lines,机器人汇报线,系统,1,真接通,upsert_synced_bot_from_cloud; /api/v1/org/bots; backfill_bot_init,upsert_synced_bot_from_cloud; upsert_synced_bot_from_cloud._do,client无/org无/user无/source无,"created有,updated有",
brand_mirror_snapshots,品牌镜像快照,认知产品,3,真接通,/api/v1/intelligence/brand-mirror/analyze,latest_brand_mirror_snapshot,client有/org无/user无/source无,"created有,updated无",
card_review_queue,卡片复核队列,富化索引,44,半接通,/api/v1/tasks/{task_id}/attachments,(无读边),client无/org无/user无/source无,"created有,updated有",
chat_messages,工作台对话消息,原始资料,1139,真接通,/api/v1/clients/{client_id}/analysis-runs/{run_id}/cancel; /api/v1/clients/{client_id}/workspace/chat/start; /api/v1/settings/demo-data/load,fetch_chat_message_for_client; build_client_analysis_run,client无/org无/user无/source无,"created有,updated无",
chat_thread_memory_packs,对话线程记忆包,原始资料,27,真接通,_schedule_post_answer_enrichment,create_app; delete_chat_message_pair,client有/org无/user无/source无,"created有,updated有",
chat_threads,工作台对话线程,原始资料,305,真接通,/api/v1/me/org-membership/apply; /api/v1/clients/{client_id}/analysis-runs/{run_id}/cancel; /api/v1/settings/demo-data/load,_upsert_cloud_client_shadow_local; persist_retrieval_bundle,client有/org无/user无/source无,"created有,updated有",
clarification_records,澄清问答记录,共识事实,0,死表,/api/v1/clients/{client_id}/workspace/chat; write_cross_source_candidate; /api/v1/meeting-minutes/process,_event_line_context_bundle; create_app,client无/org无/user无/source无,"created有,updated有",空表
client_analysis_runs,客户分析运行结果,认知产品,408,真接通,/api/v1/clients/{client_id}/workspace/chat/start; background_resolve_chat_answer; _startup_worker,create_client_analysis_run; update_client_analysis_run,client有/org无/user无/source无,"created有,updated有",
client_brand_strategy_extracts,客户品牌战略抽取,共识事实,1,真接通,create_app; /api/v1/intelligence/brand-mirror/strategy-extract,create_app; update_brand_strategy_extract_endpoint,client有/org无/user无/source无,"created无,updated有",
client_delete_tombstones,客户删除墓碑,共识事实,1,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
client_dna_documents,客户DNA文档,原始资料,32,真接通,create_app; knowledge_worker_loop,_collect_strategic_insight_context; context_summary,client有/org无/user无/source无,"created无,updated有",孤儿写;needs_human动态写
client_folders,客户文件夹,系统,103,真接通,/api/v1/clients/{client_id}/documents/{document_id}/move-folder; /api/v1/clients/{client_id}/documents/auto-repair/apply; /api/v1/clients/{client_id}/folders,build_client_summary; _force_online_transcript_document_classification,client有/org无/user无/source有,"created有,updated无",
client_glossary,客户术语表,共识事实,407,真接通,/api/v1/clients/{client_id}/glossary; /api/v1/glossary/{entry_id}; _persist_resolved_clarification_to_glossary,list_glossary_attributes_proxy; list_glossary_drift_alerts_proxy,client有/org无/user无/source无,"created有,updated有",needs_human动态写
client_narrative_local_mirror,客户叙事本地镜像,认知产品,7,真接通,/api/v1/clients/{client_id}/narrative; create_app,build_template_fill_context; get_client_narrative_proxy,client有/org无/user无/source无,"created无,updated无",孤儿写;needs_human动态写
client_stage_audit,客户阶段变更审计,认知产品,236,真接通,_bootstrap_client_sync,list_stage_audit,client有/org无/user有/source无,"created无,updated无",
client_strategic_documents,客户战略文档,原始资料,2,真接通,/api/v1/clients/{client_id}/strategic-docs; create_app,list_strategic_docs; delete_strategic_doc,client有/org无/user无/source无,"created无,updated无",
client_strategic_profiles,客户战略画像,认知产品,6,真接通,(无/建表),get_client_knowledge_status; create_app,client有/org无/user无/source无,"created无,updated有",
client_template_fill_runs,客户智能填表运行,认知产品,59,真接通,/api/v1/clients/{client_id}/documents/fill-template/start; /api/v1/clients/{client_id}/template-fill-runs/{run_id}; _startup_worker,create_client_template_fill_run; fetch_active_client_template_fill_run,client有/org无/user无/source无,"created有,updated有",needs_human动态写
client_units,客户单元(空),系统,0,门面,(无/建表),(无读边),client有/org无/user无/source无,"created有,updated无",空表
clients,客户主表,共识事实,14,真接通,_try_cloud_sync_client; /api/v1/settings/demo-data/load; /api/v1/clients/{client_id},_client_row_to_cloud_payload; _try_cloud_sync_client,client无/org无/user无/source无,"created有,updated有",
commitments,承诺事项,共识事实,75,真接通,/api/v1/clients/{client_id}/todos/{todo_id}/dismiss; /api/v1/clients/{client_id}/todos/{todo_id}/promote-to-task; create_app,promote_todo_to_task_proxy; create_app,client有/org无/user无/source有,"created有,updated有",
conflict_groups,事实冲突分组,共识事实,9,真接通,analysis_job_worker_loop,list_conflict_groups; _build_analysis_center_summary,client有/org无/user无/source无,"created有,updated有",
context_packs,上下文打包结果,认知产品,25,真接通,_sync_event_line_client_scope_records,_fetch_context_pack_summaries; _sync_event_line_client_scope_records,client有/org无/user无/source无,"created有,updated有",needs_human动态写
cooperation_relationships,合作关系(空),共识事实,0,门面,(无/建表),_load_client_profile; build_narrative_analyses,client有/org无/user无/source无,"created无,updated有",空表
data_center_ingest_events,数据中心统一来源登记事件,系统,805,真接通,/api/v1/intelligence/sentiment/refresh; /api/v1/clients/{client_id}/workspace/data-center-readiness; /api/v1/event-lines,create_app; get_workspace_data_center_readiness,client有/org有/user无/source有,"created有,updated有",needs_human动态写
data_center_proposal_drafts,数据中心提案草稿,系统,0,死表,/api/v1/data-center/diagnose; /api/v1/workspace-answer-action-cards/{message_id}/request-evidence; /api/v1/data-center/proposal-drafts/{draft_id}/promote,create_app; get_client_mobile_data_center_snapshot,client有/org无/user无/source无,"created有,updated有",空表
data_center_shadow_runs,数据中心影子运行,系统,844,真接通,/api/v1/data-center/diagnose,list_data_center_shadow_runs,client无/org无/user无/source无,"created有,updated无",
data_center_sync_outbox,数据中心同步发件箱,系统,0,死表,enqueue_data_center_sync_for_ingest_event,_upsert_outbox_item; build_data_center_sync_preview,client无/org有/user无/source有,"created有,updated有",空表
data_gaps,数据缺口,共识事实,0,死表,/api/v1/clients/{client_id}/data-gaps/compensate,build_template_fill_context; create_app,client有/org无/user无/source无,"created无,updated无",空表
decisions,决策记录,共识事实,3,真接通,create_app; /api/v1/clients/{client_id}/meetings/{meeting_id}/extract; /api/v1/channels/feishu/events,build_meeting_detail; create_app,client无/org无/user无/source无,"created有,updated无",
dedup_relations,去重关系,富化索引,7,半接通,/api/v1/tasks/{task_id}/attachments,(无读边),client无/org无/user无/source无,"created有,updated无",
digital_asset_narrative_snapshots,数字资产叙事快照,认知产品,0,死表,/api/v1/clients/{client_id}/digital-assets/narrative/refresh,get_latest_digital_asset_narrative; _save_narrative_snapshot,client有/org无/user无/source无,"created有,updated有",空表
dna_deltas,DNA增量变更,共识事实,25,真接通,_sync_event_line_client_scope_records,list_dna_deltas; _sync_dna_delta,client有/org无/user无/source无,"created有,updated有",needs_human动态写
dna_terms,DNA术语(空),共识事实,0,死表,/api/v1/settings/demo-data/load,workspace_for_client; context_summary,client有/org无/user无/source无,"created有,updated有",空表
doc_skeletons,文档骨架索引,富化索引,446,半接通,(无/建表),(无读边),client有/org无/user无/source无,"created有,updated有",
document_cards,文档卡片,富化索引,259,真接通,/api/v1/tasks/{task_id}/attachments; knowledge_worker_loop; local_model_optimizer_worker_loop,_collect_strategic_insight_context; create_app,client无/org无/user无/source无,"created有,updated有",
document_catalog_index,文档目录索引,富化索引,206,真接通,/api/v1/tasks/{task_id}/attachments,hydrate_missing_surrogates; refresh_existing_knowledge_document,client无/org无/user无/source无,"created有,updated无",
document_chunks,文档切块(老),富化索引,5371,真接通,create_app; /api/v1/clients/{client_id}/workspace/data-center-readiness/actions; /api/v1/tasks/{task_id}/attachments,create_app; build_document_reading_preview_record,client无/org无/user无/source无,"created有,updated无","老切块,v2_chunks为新主表疑重复"
document_deep_read_states,文档深读状态,富化索引,14,真接通,sync_states_for_client,reap_stuck; claim_next,client有/org有/user无/source无,"created有,updated有",
document_fields,文档抽取字段,原始资料,1334,真接通,(无/建表),upsert_document_fields; _fetch_fields_by_schema,client无/org无/user无/source无,"created有,updated有",
document_kinds,文档类型字典,系统,57,真接通,_background_worker,create_app; decompose_documents_batch,client无/org无/user无/source无,"created无,updated无",
document_path_optimizations,文档路径优化建议,富化索引,29,真接通,local_model_optimizer_worker_loop,fetch_document_cards; retrieve_knowledge_bundle,client有/org无/user无/source无,"created有,updated有",
document_recycle_bin,文档回收站,原始资料,28,半接通,/api/v1/clients/{client_id}/duplicate-documents/resolve; create_app; /api/v1/clients/{client_id}/documents/{document_id},(无读边),client有/org无/user无/source无,"created无,updated无",
documents,原始文档主表,原始资料,2083,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; /api/v1/clients/{client_id}/knowledge/export-answer; /api/v1/clients/{client_id}/documents/from-text,_upsert_cloud_client_shadow_local; build_client_summary,client有/org有/user无/source无,"created有,updated无",
duplicate_group_reviews,重复组复核,富化索引,0,死表,/api/v1/clients/{client_id}/duplicate-documents/resolve; create_app,get_client_duplicate_documents; create_app,client有/org无/user无/source无,"created无,updated无",空表
entities,实体表,共识事实,5036,真接通,create_app; /api/v1/entities/{entity_id}/verify; _merge_entities,create_app; merge_entity_into,client有/org无/user无/source无,"created有,updated有",
entity_mentions,实体提及,共识事实,12309,真接通,/api/v1/entities/{merged_id}/merge; /api/v1/tasks/{task_id}/attachments,fanout_document_to_strategic_thoughts; fanout_document_to_event_lines,client无/org无/user无/source无,"created有,updated无",
entity_merge_log,实体合并日志,共识事实,0,死表,/api/v1/entities/{merged_id}/merge,(无读边),client有/org无/user无/source无,"created有,updated无",空表
event_line_activities,事件线活动,共识事实,124,真接通,_sync_task_attachment_scope; /api/v1/growth/recommendations/{recommendation_id}/accept; create_app,build_event_line; build_event_line_detail,client无/org无/user无/source有,"created有,updated无",
event_line_approval_nodes,事件线审批节点(空),系统,0,门面,(无/建表),create_app; _event_line_dependency_counts,client无/org无/user无/source无,"created有,updated无",空表
event_line_attachments,事件线附件,原始资料,2,真接通,create_app; /api/v1/event-lines/{event_line_id}/report-snapshot,create_app; _build_local_event_line_report_snapshot,client无/org无/user无/source无,"created无,updated无",needs_human动态写
event_line_delete_tombstones,事件线删除墓碑,共识事实,1,真接通,/api/v1/event-lines/{event_line_id}/merge; create_app.merge_event_lines._do_merge,create_app; _upsert_cloud_event_line_shadow_local,client无/org无/user无/source无,"created无,updated无",孤儿写;needs_human动态写
event_line_memory_snapshots,事件线记忆快照,共识事实,19,真接通,_sync_task_attachment_scope,build_strategic_cockpit_snapshot; create_app,client无/org无/user无/source无,"created有,updated有",
event_line_state_changes,事件线状态变更(空),共识事实,0,门面,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",空表
event_line_weekly_snapshots,事件线周快照(空),认知产品,0,门面,(无/建表),create_app; _event_line_dependency_counts,client无/org无/user无/source无,"created有,updated无",空表
event_lines,事件线主表,共识事实,18,真接通,/api/v1/event-lines; /api/v1/event-lines/{event_line_id}; /api/v1/event-lines/{event_line_id}/close,build_task; build_growth_workbench_snapshot,client无/org有/user有/source无,"created有,updated有",
event_log,事件日志,系统,312,半接通,local_model_optimizer_worker_loop,(无读边),client有/org无/user无/source无,"created无,updated无",
evidence_cards,证据卡片,富化索引,378,真接通,_sync_event_line_client_scope_records,_fetch_evidence_support_items; get_client_knowledge_status,client有/org无/user无/source有,"created有,updated有",needs_human动态写
evidence_quality_annotations,证据质量标注,富化索引,328,真接通,/api/v1/data-center/evidence-quality/{annotation_id}/label,create_app; get_client_mobile_data_center_snapshot,client无/org无/user无/source有,"created有,updated有",
evidence_quality_feedback_snapshots,证据质量反馈快照(空),富化索引,0,死表,/api/v1/data-center/evidence-quality/snapshots,list_evidence_quality_feedback_snapshots; create_evidence_quality_feedback_snapshot,client无/org无/user无/source无,"created有,updated无",空表
evidence_refs,证据引用,富化索引,62,真接通,_sync_task_attachment_scope; /api/v1/clients/{client_id}/duplicate-documents/resolve; /api/v1/clients/{client_id}/meetings/{meeting_id}/publish,get_client_duplicate_documents; get_client_duplicate_documents._ref_counts,client有/org无/user无/source有,"created有,updated无",
execution_ticket_logs,执行工单日志(空),系统,0,死表,/api/v1/proposals/{proposal_id}/execution-ticket,get_execution_retry_metrics; list_execution_ticket_logs,client无/org无/user无/source无,"created有,updated无",空表
execution_tickets,执行工单(空),系统,0,死表,create_app._insert_execution_ticket; create_app._complete_execution_ticket; /api/v1/proposals/{proposal_id}/execution-ticket,create_app; _proposal_row_to_record,client有/org无/user无/source无,"created有,updated有",空表
exp_wall_quotes,经验墙引语(疑与handbook_entries重复),共识事实,254,真接通,/api/v1/reviews/weekly; toggle_reaction; _recompute_scores,list_feed; get_quote,client无/org无/user无/source有,"created有,updated有",needs_human动态写;疑与handbook_entries重复(经验墙双表)
exp_wall_reactions,经验墙互动(空),共识事实,0,死表,_background_sync_exp_wall,get_user_reactions; toggle_reaction,client无/org无/user有/source无,"created有,updated无",空表;孤儿写
experience_story_drafts,经验故事草稿,认知产品,5,真接通,reject_experience_story_draft; regenerate_experience_story_draft,reject_experience_story_draft; regenerate_experience_story_draft,client有/org无/user无/source有,"created有,updated有",孤儿写;needs_human动态写
external_evidence_cards,外部证据卡片(空),富化索引,0,死表,/api/v1/clients/{client_id}/data-gaps/compensate; /api/v1/topic-candidates/{topic_id}/external-evidence-card; /api/v1/external-evidence-cards/{card_id}/accept,create_app; _resolve_client_id_for_evidence_quality_annotation,client有/org无/user无/source无,"created有,updated有",空表
fact_contradictions,事实矛盾,共识事实,81,真接通,run_internet_enrichment; /api/v1/contradictions/{contradiction_id}/review; verify_contradictions,get_client_knowledge_status; create_app,client有/org无/user无/source无,"created无,updated无",needs_human动态写
file_reclass_events,文件重分类事件,系统,643,真接通,_sync_legacy_knowledge_document,fetch_recent_reclass_events; _sync_legacy_knowledge_document,client无/org无/user无/source无,"created有,updated无",
generation_runtime_state,"生成运行态(老,空)",系统,0,门面,(无/建表),ensure_generation_runtime_schema,client有/org无/user无/source无,"created无,updated有",空表;被v2替代
generation_runtime_state_v2,生成运行态v2,系统,56,真接通,/api/v1/clients/{client_id}/documents/ai-action; /api/v1/runtime/generation-state,get_generation_runtime_state; ensure_generation_runtime_schema,client有/org无/user无/source无,"created无,updated有",
glossary_attributes,术语属性,共识事实,808,真接通,/api/v1/clients/{client_id}/glossary-attributes/{attr_id}/verify; /api/v1/clients/{client_id}/glossary-attributes/{attr_id}/reject; /api/v1/clients/{client_id}/glossary-drift-alerts/{alert_id}/resolve,list_glossary_attributes_proxy; verify_glossary_attribute_proxy,client有/org无/user无/source有,"created有,updated有",
glossary_drift_alerts,术语漂移告警,共识事实,1,真接通,/api/v1/clients/{client_id}/glossary-drift-alerts/{alert_id}/resolve; create_app; run_internet_enrichment,list_glossary_drift_alerts_proxy; resolve_glossary_drift_alert_proxy,client有/org无/user无/source无,"created无,updated无",
glossary_relations,术语关系,共识事实,63,真接通,/api/v1/clients/{client_id}/project-portrait/build; build_portrait._persist,_collect_glossary_relations; build_portrait,client有/org无/user无/source无,"created有,updated有",孤儿写;needs_human动态写
goal_records,目标记录(空),系统,0,死表,/api/v1/settings/demo-data/load; create_app; /api/v1/clients/{client_id}/goals,build_task_project_context; workspace_for_client,client有/org无/user无/source无,"created有,updated有",空表
growth_ability_profiles,成长能力画像,认知产品,6,真接通,/api/v1/growth/ledger,_fetch_profile_map,client无/org无/user无/source无,"created有,updated有",
growth_ability_weekly_snapshot,成长能力周快照,认知产品,114,真接通,/api/v1/growth/overview; _background_sync_exp_wall,_build_ability_trends,client无/org无/user有/source无,"created无,updated无",
growth_capture_states,成长无感采集状态,共识事实,694,真接通,_background_sync_exp_wall; /api/v1/reviews/weekly,get_pending_capture; update_pending_capture_state,client无/org无/user有/source无,"created有,updated有",
growth_evidence_records,成长证据记录,共识事实,394,真接通,_sync_badge_unlocks; /api/v1/handbook; _background_sync_exp_wall,get_brain_dashboard; create_app,client无/org无/user有/source无,"created有,updated有",
growth_recommendation_feedback,成长推荐反馈(空),系统,0,死表,create_app; /api/v1/growth/recommendations/feedback,(无读边),client无/org无/user有/source有,"created有,updated无",空表
growth_signal_events,成长信号事件,共识事实,709,真接通,create_app; /api/v1/growth/enrich-insights; _sync_badge_unlocks,create_app; delete_task,client无/org无/user有/source有,"created有,updated有",
growth_validation_events,成长验证事件,认知产品,10,真接通,/api/v1/growth/handbook/{entry_id}/mark-reused; _background_sync_exp_wall,create_app; build_handbook_detail,client无/org无/user有/source有,"created有,updated有",
handbook_entries,组织手册条目(经验墙正表),共识事实,21,真接通,_sync_event_line_client_scope_records; /api/v1/settings/demo-data/load; /api/v1/handbook,get_brain_dashboard; build_demo_data_response,client有/org无/user无/source有,"created有,updated无",
heal_log,自愈日志(空),系统,0,死表,/api/v1/system/self-heal,get_heal_log,client无/org无/user无/source无,"created无,updated无",空表
idempotency_keys,幂等键(空),系统,0,死表,_schedule_chat_fact_extraction; /api/v1/clients; mark_failed,find; cleanup_expired,client无/org无/user无/source无,"created有,updated无",空表
import_staged_files,导入暂存文件,原始资料,40,真接通,/api/v1/smart-import/sessions/{session_id}/files; /api/v1/smart-import/sessions/{session_id}/chunks; /api/v1/smart-import/chunks/{chunk_id},get_session; delete_staged_file,client无/org无/user无/source无,"created无,updated无",
import_story_chunk_files,导入故事块文件,原始资料,39,真接通,/api/v1/smart-import/sessions/{session_id}/chunks; /api/v1/smart-import/files/{file_id}/assign,assign_file_to_chunk; parse_chunk,client无/org无/user无/source无,"created有,updated无",
import_story_chunks,导入故事切块,原始资料,31,真接通,/api/v1/smart-import/sessions/{session_id}/chunks; /api/v1/smart-import/chunks/{chunk_id}; /api/v1/smart-import/chunks/{chunk_id}/parsed,smart_import_update_chunk; smart_import_patch_chunk_parsed,client无/org无/user无/source无,"created有,updated有",
import_story_sessions,导入故事会话,原始资料,24,真接通,/api/v1/smart-import/sessions/{session_id}; /api/v1/smart-import/sessions/{session_id}/files; /api/v1/smart-import/files/{file_id},smart_import_commit_session; create_app,client有/org无/user无/source无,"created有,updated有",
imports,导入批次,原始资料,52,真接通,knowledge_worker_loop; _worker_loop,workspace_for_client; create_app,client有/org无/user无/source无,"created有,updated无",
intelligence_brand_audits,资讯品牌审计,认知产品,3,真接通,/api/v1/intelligence/sentiment/audit,_persist_audit; get_audit,client无/org无/user无/source无,"created有,updated有",
intelligence_candidate_items,资讯候选条目(抓取原文),原始资料,1703,真接通,create_app; /api/v1/intelligence/verification-feedback; /api/v1/intelligence/refresh,create_app; submit_verification_feedback,client有/org无/user无/source无,"created有,updated有",
intelligence_feedback_events,资讯反馈事件,系统,3,真接通,/api/v1/intelligence/items/{item_id}/chat,feedback_diagnostics,client有/org无/user无/source无,"created有,updated无",
intelligence_feedback_summaries,资讯反馈汇总(空),认知产品,0,死表,/api/v1/intelligence/items/{item_id}/chat,_upsert_summary; feedback_score_for_candidate,client有/org无/user无/source无,"created有,updated有",空表
intelligence_fetch_jobs,资讯抓取作业,原始资料,1996,真接通,/api/v1/intelligence/refresh,get_candidate_supply_status_for_scope; get_source_diagnostics,client有/org无/user无/source无,"created有,updated无",
intelligence_focus_directives,资讯聚焦指令,系统,1,真接通,(无/建表),create_app; list_focus_directives,client无/org无/user无/source无,"created有,updated有",
intelligence_items,资讯条目,原始资料,151,真接通,create_app; /api/v1/intelligence/verification-feedback; /api/v1/intelligence/items/{item_id}/dismiss,create_app; list_intelligence_items,client有/org无/user无/source无,"created有,updated有",
intelligence_profiles,资讯画像(空),系统,0,死表,create_app; /api/v1/intelligence/profiles/{profile_id}; /api/v1/intelligence/profiles/{profile_id}/refresh,create_app; import_sync_intelligence_demo.apply_rows,client有/org有/user无/source无,"created有,updated有",空表
intelligence_refresh_runs,资讯刷新运行,认知产品,26,真接通,create_app; /api/v1/intelligence/refresh-runs; /api/v1/intelligence/refresh,create_app; list_intelligence_refresh_runs,client有/org无/user无/source无,"created有,updated有",
intelligence_search_diagnostics,资讯检索诊断(空),系统,0,门面,run_intelligence_search_diagnostic,(无读边),client有/org无/user无/source无,"created有,updated无",空表;孤儿写
intelligence_search_intents,资讯检索意图,认知产品,667,真接通,(无/建表),_profile_deep_dive_rows; continue_timely_candidate_review,client有/org无/user无/source无,"created有,updated有",
intelligence_sentiment_themes,资讯情绪主题,认知产品,13,真接通,/api/v1/intelligence/sentiment/themes,collect_signals; _persist_themes,client无/org无/user无/source无,"created有,updated有",
intelligence_source_configs,资讯源配置,系统,155,真接通,create_app; /api/v1/intelligence/refresh-cycle-settings; /api/v1/intelligence/refresh,ensure_default_source_configs; _disable_invalid_discovered_sources,client有/org无/user无/source有,"created有,updated有",
intelligence_verification_rules,资讯核验规则(空),系统,0,死表,(无/建表),create_app; list_verification_rules,client无/org无/user无/source无,"created有,updated有",空表
job_stage_runs,作业阶段运行,系统,275,半接通,(无/建表),list_analysis_job_stages,client无/org无/user无/source无,"created有,updated有",
judgment_versions,判断/判卡版本,认知产品,67,真接通,/api/v1/strategic/thoughts/{thought_id}/review; _sync_event_line_client_scope_records; create_app,build_template_fill_context; _collect_strategic_insight_context,client有/org无/user无/source无,"created有,updated有",
kernel_primary_rollout_runs,内核主推灰度运行(空),系统,0,死表,/api/v1/data-center/kernel-primary-rollout/start; /api/v1/data-center/kernel-primary-rollout/{run_id}/complete; /api/v1/data-center/kernel-primary-rollout/{run_id}/rollback,list_kernel_primary_rollout_runs; get_kernel_primary_rollout_run,client无/org无/user无/source无,"created有,updated有",空表
key_decisions,关键决策(空),共识事实,0,门面,(无/建表),_weekly_mainline_collect_story_web,client有/org无/user无/source有,"created有,updated有",空表
knowledge_document_versions,知识文档版本,原始资料,237,真接通,/api/v1/tasks/{task_id}/attachments; knowledge_worker_loop,hydrate_missing_surrogates; refresh_existing_knowledge_document,client无/org无/user无/source无,"created有,updated无",
knowledge_documents,知识文档,原始资料,612,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; _sync_task_attachment_scope; create_app,_client_folder_file_count; _collect_strategic_insight_context,client有/org无/user无/source无,"created有,updated有",
knowledge_job_events,知识作业事件,系统,2837,真接通,create_app; knowledge_worker_loop,create_app; get_workspace_data_center_readiness,client无/org无/user无/source无,"created有,updated无",孤儿写;needs_human动态写
knowledge_jobs,知识作业,系统,77,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; _startup_worker; knowledge_worker_loop,create_app; _has_active_workspace_document_auto_repair_job,client有/org无/user无/source无,"created有,updated有",needs_human动态写
knowledge_master_index,知识主索引,富化索引,565,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; create_app; /api/v1/clients/{client_id}/folders/apply-recommendation,create_app; get_workspace_data_center_readiness,client有/org无/user无/source无,"created无,updated有",
knowledge_master_index_fts,知识主索引FTS,富化索引,596,真接通,sync_master_index_fts,sync_master_index_fts; search_master_index_fts,client有/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_config,FTS配置,富化索引,1,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_content,FTS内容,富化索引,596,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_data,FTS数据,富化索引,583,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_docsize,FTS文档大小,富化索引,596,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_idx,FTS索引,富化索引,580,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_search_runs,知识检索运行,认知产品,80,真接通,/api/v1/clients/{client_id}/knowledge/search; create_app,load_cached_retrieval_bundle; create_app,client有/org无/user无/source无,"created有,updated有",孤儿写;needs_human动态写
